governance_id,project_id,oversight_mechanism,appeal_process,transparency_measures,accountability_framework,external_audit
1,1,,,,,
2,2,,Yes,,,
3,3,,,,,
4,4,,"Explanations must inform clients of relevant recourse options, where appropriate.",Descriptions must be made available in plain language through the Algorithmic Impact Assessment and discoverable via a departmental website.,,
5,5,"Peer review, Gender-based Analysis Plus, Plain language notice, Human-in-the-loop for decisions, Training, IT and business continuity management","Explanation provided to the client with any decision that results in the denial of a benefit or service, or involves a regulatory action.",Publish specifications of the automated decision system in a peer-reviewed journal or a plain language summary of the findings on a Government of Canada website.,"Regular monitoring and quality assurance measures, extensive review process of system rules.",
6,6,"TBS Directive for ADS, randomized manual spot checks, Integrity Service Branch (ISB) reviews","If a client makes an inquiry about their file, officers proceed with the recalculation process.",Explanations must be published for common decision results and made available in plain language through the Algorithmic Impact Assessment and discoverable via a departmental website.,Compliance with the TBS Directive for ADS requires a rigorous approval process to ensure adherence to established standards.,
7,7,A data and automation advisory board specified by Treasury Board Secretariat.,"Where the platform fails to recognize a proof of vaccination, a traveller would undergo a manual inspection of their documentation.","Plain language notice posted through all service delivery channels in use (Internet, in person, mail or telephone).","Ensuring that a meaningful explanation is provided with any decision that resulted in the denial of a benefit, a service, or other regulatory action.",
8,8,Regular monitoring and quality assurance measures,"An application sent for manual review may still be approved, but only an IRCC officer can refuse an application.",Publishing specifications of the Automated Decision System in a peer-reviewed journal.,"Audit trail that records all the recommendations or decisions made by the system, linked to relevant legislation, policy or procedures",
9,9,,,,,
10,10,100% human oversight with multiple levels of review by CBSA staff.,"If a facial comparison match is not confirmed, escalating levels of review and investigation are available, potentially leading to detention as per IRPA and IRPR.","Plain language notice posted through all service delivery channels, publication of a peer-reviewed summary of findings.","Human judgment and discretion applied to automated decisions, explanations provided for any decision affecting individuals.",
11,11,,,"Explanations must be published for common decision results, including the role of the system, input data and its source, criteria for data evaluation, and output produced. Descriptions must be available in plain language and discoverable via a departmental website.",,
12,12,"Peer review, Gender-based Analysis Plus, Plain language notice, Human-in-the-loop for decisions, Explanation, Training, IT and business continuity management, Approval for the system to operate",,Publish specifications of the automated decision system in a peer-reviewed journal or a plain language summary of the findings on a Government of Canada website.,,
13,13,"Continuous evaluations, peer review, and publication of findings.","Meaningful explanation provided to the client with any decision that results in the denial of a benefit or service, including recourse options.","Plain language notice, publication of system specifications and reviews.","Documentation on design and functionality, adherence to the Directive on Automated Decision-Making.",
14,14,"Peer review, Gender-based Analysis Plus, Plain language notice, Human-in-the-loop for decisions","Explanation provided to the client with any decision that results in the denial of a benefit or service, or involves a regulatory action.",Publish specifications of the automated decision system in a peer-reviewed journal or a plain language summary of the findings on a Government of Canada website.,"Documentation on the design and functionality of the system, Training, IT and business continuity management",
15,15,A data and automation advisory board specified by Treasury Board Secretariat,,Publishing specifications of the Automated Decision System in a peer-reviewed journal,,
16,16,"Audit trail that records all recommendations or decisions made by the system, linked to relevant legislation, policy, or procedures.",Recourse process established for clients that wish to challenge the decision.,Providing explanations for common decision results via a Frequently Asked Questions section on a website.,"Documented processes to manage risks, test datasets against biases, and resolve data quality issues during the design process.",
17,17,"Peer review, Gender-based Analysis Plus, plain language notice, human-in-the-loop for decisions","Explanation provided to the client with any decision that results in the denial of a benefit or service, including recourse options","Publication of peer review findings or summary, plain language notice, training documentation","Documentation on the design and functionality of the system, meaningful explanation of decisions",
18,18,,,,,
19,19,,Les candidatures peuvent contester ou faire appel des résultats de l’évaluation.,"Publication d'une explication significative des résultats des décisions, accessible sur le site Web de l'institution.",,
20,20,,,,,
21,21,,,,,
22,22,,"Les explications doivent également fournir des renseignements aux clients sur les possibilités de recours pertinentes, le cas échéant.",Les descriptions doivent être offertes en langage clair par l’entremise de l’évaluation de l’incidence algorithmique et être repérables sur le site Web de l’institution.,,
23,23,"Examen par les pairs, Expert qualifié d’une institution gouvernementale fédérale, provinciale, territoriale ou municipale, Membres qualifiés d’une faculté d’un établissement postsecondaire, Chercheurs qualifiés d’une organisation non gouvernementale pertinente, Tiers fournisseur à forfait avec une spécialisation connexe, Publication des spécifications du système décisionnel automatisé dans une revue à comité de lecture, Un comité consultatif des données spécifié par le Secrétariat du Conseil du Trésor",Les agents prennent la décision définitive concernant toutes les demandes.,"Avis en langage simple publié par l’entremise de tous les modes de prestation de services utilisés (Internet, en personne, par courrier, par téléphone)",Surveillance régulière et des mesures d’assurance de la qualité,
24,24,"Examen par les pairs, consultation d'experts, publication des conclusions en langage clair sur un site Web du gouvernement du Canada","Les explications doivent également fournir des renseignements aux clients sur les possibilités de recours pertinentes, le cas échéant.",Publication des spécifications du système décisionnel automatisé dans une revue à comité de lecture et accessibilité d'un résumé des conclusions en langage clair.,"Les règles du système sont basées uniquement sur des éléments de données ayant un lien clair avec les exigences législatives et réglementaires, et le système ne refuse jamais les demandes, ni ne recommande de refus.",
25,25,Secrétariat du Conseil du Trésor du Canada (SCT) supervise l'utilisation de l'apprentissage automatique,Les clients ont la possibilité de solliciter une révision de leur dossier auprès des agents experts de l'Assurance-Emploi.,Explication significative des résultats des décisions publiée en langage clair sur le site Web de l'institution.,Directive sur la prise de décisions automatisée,
26,26,Examen par les pairs,"Si la plateforme ne reconnaît pas une preuve de vaccination, il faut faire une inspection manuelle des documents du voyageur.","Avis en langage simple publié par l’entremise de tous les modes de prestation de services utilisés (Internet, en personne, par courrier, par téléphone).","Formation, Documents sur la conception et la fonctionnalité du système.",
27,27,"Examen par les pairs, Expert qualifié d’une institution gouvernementale fédérale, provinciale, territoriale ou municipale, Membres qualifiés d’une faculté d’un établissement postsecondaire, Chercheurs qualifiés d’une organisation non gouvernementale pertinente, Tiers fournisseur à forfait avec une spécialisation connexe, Publication des spécifications du système décisionnel automatisé dans une revue à comité de lecture, Un comité consultatif des données spécifié par le Secrétariat du Conseil du Trésor","Les décisions peuvent être renversées lorsque cela est justifié, et les clients peuvent présenter une nouvelle demande lorsque le programme est toujours ouvert.","Avis en langage simple publié par l’entremise de tous les modes de prestation de services utilisés (Internet, en personne, par courrier, par téléphone).","Des mesures d'assurance de la qualité et de surveillance régulières aideront à s'assurer que le système continue de fonctionner comme prévu et que les impacts négatifs imprévus, comme les biais ou la discrimination, peuvent être rapidement décelés et atténués.",
28,28,Un processus continu d’assurance de la qualité a été mis en place pour vérifier si les agents prennent les mêmes décisions favorables concernant la recevabilité que les outils.,,Les règles des deux outils font l’objet d’un processus d’examen approfondi.,,
29,29,,,,,
30,30,Surveillance régulière et des mesures d’assurance de la qualité,,Publication des spécifications du système décisionnel automatisé dans une revue à comité de lecture,,
31,31,"Surveillance humaine à 100 %, trois niveaux d’examen pour la validation des correspondances faciales.","Possibilité de recours en cas de décision défavorable, avec enquête de suivi par l’agent du Centre de contrôle des solutions de rechange à la détention (ACCSRD), le superviseur du Centre de contrôle des solutions de rechange à la détention (SCCSRD), et le Bureau intérieur d’exécution de la loi régional.",Publication des spécifications du système décisionnel automatisé dans une revue à comité de lecture ou résumé des conclusions en langage clair sur un site Web du gouvernement du Canada.,"Exigence de fournir une explication significative au client avec toute décision qui entraîne le refus de prestation ou service, ou qui implique une autre mesure réglementaire.",
32,32,,"Les explications doivent également fournir des renseignements aux clients sur les possibilités de recours pertinentes, le cas échéant.",Les descriptions doivent être offertes en langage clair par l’entremise de l’évaluation de l’incidence algorithmique et être repérables sur le site Web de l’institution.,,
33,33,"Examen par les pairs, publication des spécifications du système décisionnel automatisé dans une revue à comité de lecture","Explication significative fournie au client avec toute décision qui entraîne le refus de prestation ou service, ou qui implique une autre mesure réglementaire","Publication des conclusions sur un site Web du gouvernement du Canada, résumé en langage clair des conclusions accessible librement","Analyse comparative entre les sexes plus, maillon humain de la prise de décisions",
34,34,"Examen par les pairs, publication des spécifications du système décisionnel automatisé","Explication significative fournie au client avec toute décision, informations sur les possibilités de recours",Publication des conclusions en langage clair sur un site Web du gouvernement du Canada,"Directive sur la prise de décisions automatisée, évaluation des facteurs relatifs à la vie privée",
35,35,,,,,
36,36,,,,,
37,37,,,,,
38,38,Ce projet a été mené sous la supervision du Centre d’excellence en intelligence artificielle conformément aux directives du Secrétariat du Conseil du Trésor du Canada.,Les individus identifiés se voient offrir l’opportunité de présenter la documentation nécessaire et des explications avant que les enquêteurs ne produisent des décisions.,"L’explication doit fournir une description générale des points suivants : le rôle du système dans le processus de décision; les données d’entrée, leur source et leur méthode de collecte; les critères utilisés pour évaluer les données d’entrée et les opérations appliquées pour les traiter; le résultat produit par le système et toute information pertinente nécessaire pour l’interpréter dans le contexte de la décision administrative; les principaux facteurs à l’origine d’une décision.",,
39,39,,,,,
40,40,"Examen par les pairs, publication des conclusions sur un site Web du gouvernement du Canada","Explication significative fournie au client avec toute décision qui entraîne le refus de prestation ou service, informations sur les possibilités de recours","Publication des spécifications du système décisionnel automatisé dans une revue à comité de lecture, résumé des conclusions accessible librement","Analyse comparative entre les sexes plus, maillon humain de la prise de décisions",
41,41,,,,,
42,42,,"Les explications doivent également fournir des renseignements aux clients sur les possibilités de recours pertinentes, le cas échéant.",Les descriptions doivent être offertes en langage clair par l’entremise de l’évaluation de l’incidence algorithmique et être repérables sur le site Web de l’institution.,,
43,43,"Examen par les pairs, Expert qualifié d’une institution gouvernementale fédérale, provinciale, territoriale ou municipale, Membres qualifiés d’une faculté d’un établissement postsecondaire, Chercheurs qualifiés d’une organisation non gouvernementale pertinente, Tiers fournisseur à forfait avec une spécialisation connexe, Publication des spécifications du système décisionnel automatisé dans une revue à comité de lecture, Un comité consultatif des données spécifié par le Secrétariat du Conseil du Trésor","S’assurer qu’une explication significative soit fournie avec toute décision qui a conduit à un refus de prestation, de service ou autre mesure réglementaire.","Avis en langage simple publié par l’entremise de tous les modes de prestation de services utilisés (Internet, en personne, par courrier, par téléphone).",Piste de vérification qui enregistre toutes les recommandations ou décisions prises par le système,
44,44,,Réévaluation pour les emprunteurs dont la demande a été refusée ou pour ceux dont le revenu mensuel brut a diminué considérablement,Explication significative des résultats des décisions publiée sur le site Web de l'institution,,
45,45,,"Les explications doivent également fournir des renseignements aux clients sur les possibilités de recours pertinentes, le cas échéant.",s’assurer qu’une explication significative des résultats communs des décisions soit publiée,,
46,46,"Performance testing will encompass an assessment of the accuracy of interview scores in comparison to human evaluation, as well as an examination of differences in assessment scores across diverse demographic groups.",Candidates retain the right to challenge or appeal assessment results and may inquire about their score.,The Knockri system provides a detailed breakdown of assessment performance that can help identify what was evaluated and its relationship to a candidate’s overall assessment score.,Performance testing and the ability for candidates to challenge or appeal assessment results,
47,47,,"Explication significative des résultats des décisions publiée, incluant des informations sur les possibilités de recours.",Descriptions offertes en langage clair sur le site Web de l’institution.,,
