dataset_id,format_id
01396e33-2c69-47e5-9381-32e717943b96,3
01396e33-2c69-47e5-9381-32e717943b96,4
04556b29-284a-4d2b-8076-928476d64553,3
04556b29-284a-4d2b-8076-928476d64553,4
061ee9d1-a04a-4590-a381-df8527390f68,2
061ee9d1-a04a-4590-a381-df8527390f68,3
061ee9d1-a04a-4590-a381-df8527390f68,4
123aefbb-c9cb-4243-9be3-7f901daf13f7,3
123aefbb-c9cb-4243-9be3-7f901daf13f7,4
1257e5c1-243f-4ab8-be42-e7433c8ebe70,3
1257e5c1-243f-4ab8-be42-e7433c8ebe70,4
240f1dbc-a3b5-46b1-9b5f-d0d3cbec9378,3
240f1dbc-a3b5-46b1-9b5f-d0d3cbec9378,4
24d2cab2-6a0d-4234-9239-b6ce102ebabd,3
24d2cab2-6a0d-4234-9239-b6ce102ebabd,4
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,4
52b8574d-5c95-463b-b375-8edd092cea30,3
52b8574d-5c95-463b-b375-8edd092cea30,4
5423054a-093c-4239-85be-fa0b36ae0b2e,2
5423054a-093c-4239-85be-fa0b36ae0b2e,5
6b429c8e-ee5b-451a-883f-b6180ada9286,3
6b429c8e-ee5b-451a-883f-b6180ada9286,4
6cba99b1-ea2c-4f8a-b954-3843ecd3a7f0,3
6cba99b1-ea2c-4f8a-b954-3843ecd3a7f0,4
71b309a0-efd2-4e85-8124-37e935c23aef,3
71b309a0-efd2-4e85-8124-37e935c23aef,4
7612202f-1530-41ce-80c7-6e121f5fcadc,4
89898244-aaae-4591-ba9b-fe5cd81d5924,4
9addf54a-7148-459f-b785-0e240414ef7f,3
9addf54a-7148-459f-b785-0e240414ef7f,4
aafdfbcd-1cdb-4913-84d5-a03df727680c,3
aafdfbcd-1cdb-4913-84d5-a03df727680c,4
ad4be3b8-ac97-4dc1-8dd8-231239d018f2,3
ad4be3b8-ac97-4dc1-8dd8-231239d018f2,4
afc17416-3781-422d-a4a9-cc55e3a053c8,3
afc17416-3781-422d-a4a9-cc55e3a053c8,4
b3dc23b6-8c06-4c45-bc65-4cb4ec30bf80,3
b3dc23b6-8c06-4c45-bc65-4cb4ec30bf80,4
b4a417f7-5040-4328-9863-bb8bbb8568c3,3
b4a417f7-5040-4328-9863-bb8bbb8568c3,4
b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d,3
b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d,4
c088f841-2d79-4c7e-9281-cc65cbae1b06,3
c088f841-2d79-4c7e-9281-cc65cbae1b06,4
c839bedc-0d5f-4b02-98a7-671d1f60ac51,4
cea9985f-5e0f-425e-9b7e-e1d122272c56,1
cea9985f-5e0f-425e-9b7e-e1d122272c56,3
cea9985f-5e0f-425e-9b7e-e1d122272c56,4
d24ae2dd-8399-4b49-8441-3e0318aaf69a,3
d24ae2dd-8399-4b49-8441-3e0318aaf69a,4
d41f9ec2-bf01-4b2a-bd8d-1b3a8424f534,3
d41f9ec2-bf01-4b2a-bd8d-1b3a8424f534,4
daa9ca66-566f-4c2e-a285-d2e217c2a00f,3
daa9ca66-566f-4c2e-a285-d2e217c2a00f,4
eaeb269c-6ac5-4429-a5aa-1fcc07c77933,3
eaeb269c-6ac5-4429-a5aa-1fcc07c77933,4
eed746a8-a682-47c2-86b1-b427398fa2e2,4
f028d40f-3c0e-4a36-8a38-fe18d7aaaa32,3
f028d40f-3c0e-4a36-8a38-fe18d7aaaa32,4
f95dbd40-1236-428c-acd1-25b7559686be,3
f95dbd40-1236-428c-acd1-25b7559686be,4
