id,name
1,AAST
2,AI
3,AIA
4,ATIP
5,Accounting
6,Administrative Activities Support Tool
7,Administrative automation
8,Advanced Analytics
9,Age
10,Algorithmic Impact Analysis
11,Algorithmic Impact Assessment
12,Artificial Intelligence
13,Assessment
14,Audio
15,Automated Decision Making
16,Automation
17,Aviation
18,CBSA Assessment and Revenue Management
19,CIC
20,CST
21,CUAET
22,Canada Student Financial Assistance Program
23,Canada Student Grants and Loans
24,Canada Ukraine Authorization for Emergency Travel
25,Citizenship and Immigration Canada
26,Claim Summary Tool
27,Commercial Importations
28,Compliance
29,Disability Benefit
30,Duties and taxes
31,EI
32,ERB
33,Employment Insurance
34,Export Compliance Dashboard
35,FR
36,Facial recognition
37,File
38,GBA Plus
39,GBA Plus: Automation
40,GBA+
41,GC HR and Pay
42,GCMS
43,Gender
44,Gender Based Analysis Plus
45,Gender-based Analysis Plus
46,Global Case Management System
47,Griffeye
48,IA
49,IRCC
50,ITAT
51,Immigration
52,Immigration Refugees and Citizenship Canada
53,International Experience Canada Work Permit Eligibility Model
54,Labour
55,Machine Learning
56,Mental Health Benefit
57,Natural Language Processing
58,OAS
59,Official Language of passport application
60,Old Age Security
61,Online Child Sexual Exploitation
62,Overseas Spouse or Partner Advanced Analytics Project
63,PACT
64,PGWP
65,PLACI
66,PPMI
67,Passport
68,Passport Program Modernization Initiative
69,Passport Program Modernization Initiative (PPMI)
70,Peer Review
71,Peer review
72,Post-Graduate Work Permits
73,Pre-load Air Cargo Targeting
74,Pre-loading Advance Cargo Information
75,Private Sponsorship of Refugees Program
76,RCMP
77,Random Forest
78,Repayment Assistance Plan
79,Royal Canadian Mounted Police
80,Royal Canadian Mounted Police.
81,Service Canada
82,Spouse or Common-Law Partner in Canada Advanced Analytics Project
83,Staffing
84,TC
85,TFW
86,TFWP
87,TRV
88,Temporary Resident Visa
89,Temporary foreign worker program
90,Transcription
91,Translation
92,Transport
93,Transport Canada
94,Treasury Board of Canada Secretariat
95,Ukraine
96,VAC
97,VAC Disability Benefit applications
98,Veterans Affairs Canada
99,Visitor Record Applications
100,Voice 2 Text
101,WP-EXT
102,Work Permit Extensions
103,aia
104,algorithmic
105,algorithmic impact assessment
106,application
107,authentication
108,automated decision making
109,automated processing
110,automation
111,biometrics
112,border
113,facial recognition
114,identity
115,mobile device
116,noncompliance
117,random forest
118,shipments
119,smartphone
120,technology
121,transparency by design
