submission_id,audit_identifies_authority,audit_records_all_decisions,audit_key_decision_points,decision_points_linked_law,change_log_maintained,audit_all_system_decisions,audit_generates_notification,audit_identifies_version,audit_shows_decision_maker,can_produce_reasons,access_permission_process,user_feedback_mechanism,client_recourse_process,human_override_enabled,override_log_process,audit_records_changes,gc_earb_reviewed
3,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,0
8,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,0
9,1,2,2,1,2,1,0,0,0,0,1,1,2,2,1,2,0
12,1,2,2,1,2,1,1,0,1,2,1,1,2,2,1,2,0
21,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,0
22,1,2,2,0,2,1,0,2,0,0,0,0,2,2,1,0,0
28,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,0
32,1,2,2,0,2,1,0,2,0,0,0,0,2,2,1,0,1
35,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,0
38,1,2,2,1,2,1,1,0,1,2,1,0,2,2,0,0,0
47,0,2,2,0,2,1,1,2,1,2,1,0,0,2,1,2,1
48,1,2,2,1,2,1,1,0,1,2,1,1,2,2,1,2,1
53,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,0
54,0,2,2,1,2,1,1,2,0,2,1,1,2,2,0,2,0
59,0,2,0,0,2,0,0,2,1,2,0,1,2,2,1,0,0
60,0,2,0,0,2,0,0,2,1,2,0,1,2,2,1,0,0
64,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,0
68,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,0
75,0,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,1
83,0,2,2,0,2,1,1,2,0,2,1,1,2,2,1,2,1
86,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,0
87,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,0
89,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,0,0
91,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,0,0
95,1,2,2,1,2,1,1,2,1,0,1,1,2,2,1,2,0
97,1,2,2,1,0,1,1,0,1,2,1,1,2,2,1,0,1
99,1,2,2,1,0,1,1,0,1,2,1,1,2,2,1,0,1
106,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,1
109,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,1
112,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,0
