language,term,pair_number,title,department,filename,position,context
EN,accountability,1,ATIP Digital Services,Treasury Board Secretariat,ATIP_Online_Request_Service_en_1.pdf,8753,"ilable?  No    [ Points: +0 ]   Have you assigned accountability in your institution for the design, development,"
EN,accountability,2,Administrative Activities Support Tool (AAST),Citizenship and Immigration (Department of),Administrative_Activities_Support_Tool_en.pdf,20299,"s: +0 ]    [ Points: +0 ]   11. Have you assigned accountability in your institution for the design, development,"
EN,accountability,3,Advanced Analytics Triage of Visitor Record Applications,Citizenship and Immigration (Department of),Advanced_Analytics_Triage_of_Visitor_Record_Applications_en_1.pdf,16801,"s: +1 ]    [ Points: +0 ]   13. Have you assigned accountability in your institution for the design, development,"
EN,accountability,4,Machine Learning Workload,Employment and Social Development (Department of),Algorithmic_Impact_Assessment_-_Employment_Insurance_Machine_Learning_Workload_en.pdf,19351,"le?   No   [ Points: +0 ]   10. Have you assigned accountability in your institution for the design, development,"
EN,accountability,5,ArriveCAN Proof of Vaccination Recognition,Public Health Agency of Canada,ArriveCAN_Proof_of_Vaccination_Recognition_en.pdf,18849,"available? No  [ Points: +0 ]  Have you assigned accountability in your institution for the design, development,"
EN,accountability,6,Automate the review of non-complex applications for Temporary Resident Visas and Work Permits made under the Canada-Ukraine Authorization for Emergency Travel (CUAET),Citizenship and Immigration (Department of),Automate_the_review_of_non-complex_applications_for_Temporary_Resident_Visas_and_Work_Permits_made_u_en.pdf,12168,"s: +1 ]    [ Points: +0 ]   11. Have you assigned accountability in your institution for the design, development,"
EN,accountability,7,Automation Development to Support Disability Benefit Decision Making,Veterans Affairs (Department of),Automation_Development_to_Support_Disability_Benefit_Decision_Making_en.pdf,10942,"s: +0 ]    [ Points: +0 ]   12. Have you assigned accountability in your institution for the design, development,"
EN,accountability,8,Export Compliance Dashboard,Canada Border Services Agency,Export_Compliance_en.pdf,18265,"s: +0 ]    [ Points: +0 ]   13. Have you assigned accountability in your institution for the design, development,"
EN,accountability,9,Family Class Spouses and Partners Overseas Applications,Citizenship and Immigration (Department of),Family_Class_Spouses_and_Partners_Overseas_Applications_en_1.pdf,18683,"s: +1 ]    [ Points: +0 ]   12. Have you assigned accountability in your institution for the design, development,"
EN,accountability,10,Integrity trends analysis tool,Citizenship and Immigration (Department of),Integrity_trends_analysis_tool_en_1.pdf,28058,"s: +1 ]    [ Points: +0 ]   13. Have you assigned accountability in your institution for the design, development,"
EN,accountability,11,International Experience Canada (IEC) Work Permit Eligibility Model,Citizenship and Immigration (Department of),International_Experience_Canada_Work_Permit_Eligibility_Model_en.pdf,29070,"s: +1 ]    [ Points: +0 ]   11. Have you assigned accountability in your institution for the design, development,"
EN,accountability,12,Mental Health Benefit,Veterans Affairs (Department of),Mental_Health_Benefit_en.pdf,9246,"ints: +0 ]  [ Points: +0 ]  11. Have you assigned accountability in your institution for the design, development,"
EN,accountability,13,Passport Program Modernization Initiative,Citizenship and Immigration (Department of),Passport_Automated_Decision-Making_in_IRCCs_Global_Case_Management_System_GCMS_en.pdf,11735,"s: +1 ]    [ Points: +0 ]   12. Have you assigned accountability in your institution for the design, development,"
EN,accountability,14,Passport Program Facial Recognition System,Citizenship and Immigration (Department of),Passport_Program_Facial_Recognition_System_en_1.pdf,26515,"s: +1 ]    [ Points: +0 ]   11. Have you assigned accountability in your institution for the design, development,"
EN,accountability,15,Pre-load Air Cargo Targeting (PACT) Program,Transport (Department of),Pre-load_Air_Cargo_Targeting_en_1.pdf,29072,"s: +1 ]    [ Points: +0 ]   13. Have you assigned accountability in your institution for the design, development,"
FR,responsabilité,15,Ciblage du fret aérien préalable au chargement (CFAPC),Transports (Ministère des),Pre-load_Air_Cargo_Targeting_fr.pdf,24257,ités internationaux qui régissent les régimes de  responsabilité pour l’expédition de marchandises à bord d’aérone
